,Type,Developer,Smell,Folds,Criterion,Max_Depth,Max_Leaf_Nodes,Min_Samples_Leaf,Min_Samples_Split,Tree,Accuracy,Precision,Recall,Fmeasure
0,Type,41,MM,5,gini,,,1,2,"if ( CountDeclInstanceMethod <= 1.5 ) {    if ( CountDeclMethodAll <= 10.0 ) {        return False ( 6 examples )    }
    else {        if ( AvgLineCode <= 6.0 ) {            return False ( 1 examples )        }
        else {            return True ( 1 examples )        }    }}
else {    if ( AvgEssential <= 6.75 ) {        if ( CountClassCoupled <= 0.5 ) {            return False ( 1 examples )        }
        else {            return True ( 5 examples )        }    }
    else {        return False ( 1 examples )    }}",0.7333333333333333,0.7,0.9,0.7666666666666666
1,Type,40,MM,5,gini,,,1,2,"if ( CountDeclMethodAll <= 3.0 ) {    if ( CountDeclInstanceVariable <= 2.0 ) {        if ( CountDeclMethod <= 1.5 ) {            return False ( 2 examples )        }
        else {            return True ( 2 examples )        }    }
    else {        return False ( 5 examples )    }}
else {    return True ( 6 examples )}",0.6833333333333333,0.6666666666666666,1.0,0.7866666666666666
2,Type,47,MM,5,gini,,,1,20,return False ( 9 examples )return True ( 6 examples ),0.5999999999999999,0.0,0.0,0.0
3,Type,45,MM,5,gini,,,1,20,return False ( 10 examples )return True ( 5 examples ),0.6666666666666666,0.0,0.0,0.0
4,Type,42,MM,5,gini,,,1,20,return False ( 10 examples )return True ( 5 examples ),0.6666666666666666,0.0,0.0,0.0
5,Type,39,MM,5,gini,,,1,20,return False ( 11 examples )return True ( 4 examples ),0.7499999999999999,0.0,0.0,0.0
6,Type,74,MM,5,gini,,,1,2,return True ( 15 examples ),1.0,1.0,1.0,1.0
7,Type,11,MM,5,gini,,,1,20,return False ( 9 examples )return True ( 6 examples ),0.5999999999999999,0.0,0.0,0.0
8,Type,8,MM,5,gini,,,1,10,"if ( CountClassBase <= 1.5 ) {    if ( AvgCyclomaticStrict <= 1.75 ) {        return False ( 8 examples )    }
    else {        return False ( 2 examples )        return True ( 1 examples )    }}
else {    return False ( 1 examples )    return True ( 3 examples )}",0.8833333333333332,0.5,0.6,0.5333333333333333
9,Type,43,MM,5,gini,,,1,10,"if ( AvgCyclomaticStrict <= 1.25 ) {    return False ( 9 examples )}
else {    return False ( 4 examples )    return True ( 2 examples )}",0.9,0.0,0.0,0.0
10,Type,46,MM,5,gini,,,1,2,return True ( 15 examples ),1.0,1.0,1.0,1.0
